index,Username,Title_Review,Rating_Review,Review,State,Type_traveler,Date_Travel,Attraction_id
0,Volnei Castanho,Local agradável!,50,"Local reformado, bem ao estilo de Puerto Madero em Buenos Aires, com restaurantes, bares e algumas lojas. É um bom local para uma caminhada ao entardecer, com a possibilidade de um passeio de barco pelo rio para curtir o “Por-do-Sol” de um ponto privilegiado. Na volta do passeio pode-se escolher um dos restaurantes para jantar, um dos bares para um lanche e alguns chopes, ou um sorvete das frutas locais. Sem dúvida é um excelente passeio em Belém.","Barueri, SP",Families,2020-02-01,2
1,Alexandre Mendes,Lugar incrível,50,Lugar incrível para visualizar o melhor por Sol do Brasil com vista impressionante e local onde se aprecia boa comida,"Belém, PA",Families,2020-01-01,2
3,marcos l,Restaurante,50,"Um ótimo lugar para levar a família  é deslumbrar a baía do Guajará na companhia de ótimos pratos regionais dos mais simples ao mais sofisticados,com belas atrações.","Belém, PA",Families,2020-02-01,2
4,Ana Caroline T,Top,50,"Vale demais a visita! Lugar agradável em Belém, climatizado, seguro, de lá saem passeios de barco, a vista é incrível!","Foz do Iguaçu, PR",Families,2020-02-01,2
5,Jef1976,Passeio excelente,50,"Vale muito o passeio neste local. É possível ver um pouco da história do porto de Belém, da cultura, do artesanato e da culinária. O local é muito bonito, bem cuidado e compensa cada fotográfica feita neste local! Ponto obrigatório para turistas em Belém!","Brasília, DF",Families,2020-02-01,2
6,Vanessa Azevedo,Encantador,50,Estive nas Docas a 13 anos atrás e tive a felicidade de ver que ela continua encantadora. Os restaurantes oferecem a culinária Paraense e os preços são bem razoáveis,"Espigão d`Oeste, RO",Families,2020-01-01,2
7,Sandessa K,Imperdível,50,"Lindo, limpo, bem cuidado. Vários restaurantes pra todos os gostos... A única coisa que considerei totalmente dispensável é uma música ao vivo estilo banquinho e violão que estava sofrível e gera couvert nos restaurantes...",,Families,2020-01-01,2
8,Alcidia,Restaurante/ estação das docas,50,"Lugar lindo! Uma revitalização nota 100! Vários restaurantes, bares, gente descontraída, atendimento excelente no restaurante tio armênio, comida deliciosa! Vale a pena!",,Families,2020-01-01,2
9,Elizabeth Guira... C,Férias,50,Lugar adorável...Excelente culinária...Estação das Docas é tudo de bom pra passar um dia com sua família e degustar essa culinária maravilhosa!,,Families,2020-01-01,2
10,Marcos040,Praia de Belém a qualquer hora,50,"É o lugar de Belém que vc pode ir pela manhã, tarde ou noite e sentir-se seguro, tranquilo, sem frescura de um shopping.  Poucos restaurantes e nenhum barato, mas vale. Tem um bom sorvete, cerveja e vale um jantar. Uma chatice a cobrança de couvert artístico sem avisar, mas se releva. Vi umas baratas e até um ratinho, mas como está ao lado das docas, se entende.Belém precisa de mais lugares assim, que se possa andar pela noite sem zumbis na rua e deserto de comércios, bares e movimento.","São Paulo, SP",Families,2020-01-01,2
11,Elisangela Louise,Maravilhoso,50,"Lugar excelente, tem apresentação de carimbó sexta à noite. Lá dentro tem a Amazon beber (cervejaria artesanal) e a famosa sorveteria Cairu ( o sorvete mestiço é o melhor do mundo).","Rio de Janeiro, RJ",Families,2020-01-01,2
12,Fabio M,Maravilhoso ,50,"Passeio excelente. Local muito agradável funciona de domingo a domingo, várias opções de restaurantes e cervejas artesanais. Vale muito apena conhecer","Fortaleza, CE",Families,2019-12-01,2
13,Vanesca Magalhães,Lugar lindo e a cara de Belém! ⛵🛳⛴🚢,40,"A Estação das docas tem a ""cara"" de Belém. Impossível ir nessa cidade e não passar por lá,e eu ainda tive a sorte de vir em dezembro, com a estação toda decorada para o Natal! Em tempo, muitos restaurantes e sorveterias, artesanato e parte da história contada em um museu local.","Brasília, DF",Families,2019-12-01,2
14,SuzanaJF,Imperdível,50,"Vou a estação das docas sempre que vou a Belém. Vale várias visitas, para tomar sorvete, cerveja, comer um filhote, ver a chuva no fim da tarde. O local precisa melhorar o acesso de motoristas de aplicativo.",,Families,2019-10-01,2
15,Ciro Alencar,Uma boa opção em Belém ,40,"Local com vários restaurantes, sorveteiras e bares, ideal para tirar boas fotos. Estacionamento privado, segurança, ambientes climatizados na área interna. No entanto, é preciso mencionar que são exorbitantes os preços cobrados no local, a exemplo do chopp de 300 ml a R$9,00 (valores de dezembro de 2019)","Fortaleza, CE",Families,2019-12-01,2
16,Waleska,Passeio com a Família ,50,"Excelente local pra passeio em família, comida excelente, ambiente agradável, confortável, seguro e Boa iluminação",No mundo inteiro,Families,2019-08-01,2
17,Nora B,Lugar top,50,"As docas são lotadas de restaurantes com uma vista maravilhosa para o Rio!!! Estacionamento, mesas internas com ar condicionado e mesas externas com vista!!! No almoço todos os restaurantes são self service a um preço de 69 reais e no jantar é a lá Carte!!! De lá tb saem passeios de barcos e está ao lado do mercado ver o peso!","São Paulo, SP",Families,2019-08-01,2
18,adrianacs,Delícia,50,"Lugar gostoso com vento, vista para o rio, várias opções gastronomicas locais e internacionais também. Bom para toda idade e tipos de grupo.","Brasília, DF",Families,2019-07-01,2
19,Carlosloureiro03,Abandono,30,"Era pra ser bom e desperta muita curiosidade em qualquer turista, mas não é uma atração. O local é climatizado e deve ter sido bom. Hoje está decadente, vidros quebrados, banheiros fedorentos, lojas desinteressantes. Restaurantes parecem das praças de alimentação de shopping. A área para exposição vazia em julho. Decadente como tudo em Belém. Muito lixo nas ruas, muitos buracos e muitos urubus. Uma tristeza.","Belo Horizonte, MG",Families,2019-07-01,2
20,Alexandre M,Boa opção para refeições,50,"Possui quatro restaurantes, além de uma cervejaria, quiosques e a sorveteria Cairu, com os sorvetes de sabores regionais. Também é possível encontrar alguns quiosques com artesanato. É uma ótima opção para refeições após os passeios,","Campinas, SP",Families,2019-07-01,2
21,martabpistelli,Gostoso para fazer refeicoes,30,A estação das docas é um lugar agradável para passear e fazer refeições.Há diversos restaurantes e sorveterias. Vale a visita.,"Guarulhos, SP",Families,2019-07-01,2
22,VLOIOLA,Opções de comida,40,Ótimo local para almoçar ou jantar. Restaurantes no formato de buffet onde se come à vontade por um preço fixo.,"Birigüi, SP",Families,2019-07-01,2
23,fhamanaka,Muito bom,50,"Local com varios restaurantes, com lugares climatizados e ao ar livre, com via para o rio... imperdivel. Muitas opções para comer e beber.","São Paulo, SP",Families,2019-07-01,2
