,index,Username,Title_Review,Rating_Review,Review,State,Type_traveler,Date_Travel,Attraction_id,validation_errors
2,2,Airton C,Muitas opções em um só lugar ,50,"O espaço é muito bonito e agradável com várias opções de restaurantes e algumas sorveterias.Ótima opção para os momentos  de chuva, que são comuns em Belém, ou para um final de tarde","Ouro Preto, MG",Families,,2,DATE_NULL;
36,36,Sonia R,Vale a pena Conhecer,50,"Lugar muito bonito, preservou toda a estrutura original do porto antigo, possui restaurantes, lojas e cervejaria artesanal. paisagem maravilhosa.","São Lourenço, MG",Families,,2,DATE_NULL;
38,38,Marinho Castro,Bares e Restaurantes,50,"ótimo local para almoçar, e passar fim de tarde e apreciar por do sol! excelente ponto turismo. o Local tem varias lojinhas com lembranças locais...","Manaus, AM",Families,,2,DATE_NULL;
39,39,Cris A,Estação das docas é parada obrigatoria em Belém!,50,"Local lindo e com muitas opções gastronomia. O preço é um pouco alto, mas como é um ponto turistico acredito que faz parte.",,Families,,2,DATE_NULL;
40,40,Luiz V,Lugar mágico,50,"É um dos pontos turísticos mais significativo do Brasil, junta a arquitetura com a linda vista e conforto","Belém, PA",Families,,2,DATE_NULL;
41,41,jcwcavalcante,Melhor que o puerto madero,50,"Antiga área portuária de Belém onde antigos galpões foram transformados em área gastronômica, de lazer e compras. Vá no final da tarde pra assistir o pôr do sol(toca o bolero de ravel também ). Lá pode ser feito um happy hour fantástico. Se for de carro tem estacionamento interno.","São Paulo, SP",Families,,2,DATE_NULL;
42,42,Fabiana P,Bonito e agradavel,50,"A visita é sempre agradável em qualquer horário do dia. Café da manhã com vista sensacional do rio ou almoço com comida típica, jantar ou happy hour com cerveja artesanal.","Belém, PA",Families,,2,DATE_NULL;
43,43,RicardoNeno,Imperdível,50,"A estação das docas é uma das principais atrações de Belém, são três galpões do antigo porto reformados que hoje conta com teatro, restaurantes, lanchonetes passeios de barco pela orla da cidade e um visual maravilhoso da baía do Guajará",,Families,,2,DATE_NULL;
106,106,Breno T,Lugar Romantico,50,"Vista perfeita, venta muito no local. Passeio seguro e propício para todas as classes e tipos de passeio.","Manaus, AM",Families,,2,DATE_NULL;
116,116,Keli S,Excelente cartão postal de Belém,50,"Foi um dos lugares que mais gostei de Belém. Bem limpo e seguro para turistas. Uma delícia jantar em frente a orla. Os restaurantes são bons. As lojinhas na parte superior são boas. Além de tudo, geralmente tem som ao vivo e shows de  carimbó.","Birigüi, SP",Families,,2,DATE_NULL;
122,122,psantos18,O melhor lugar da cidade,50,"Um lugar para passear, tomar um sorvete na sorveteria mais famosa Cairu. Mas também tem excelentes opções para almoçar ou jantar. Tomar uma cerveja regional na beira do rio, é muito bom. Tem estacionamento e é seguro. Abre todos os dias.","Rio de Janeiro, RJ",Families,,2,DATE_NULL;
125,125,Andrés G,Espaço muito bom para quase tudo,50,"Um ambiente totalmente reestilizado com muito conforto, um excelente ar condicionado, com muitas opções de alimentação, onde particularmente recomendo a Amazon Beer e Soprano, algum artesanato e bastante gente. Alguns bons eventos","João Pessoa, PB",Families,,2,DATE_NULL;
166,166,Leila P,Ótimo lugar para passear tanto de dia quanto a noite,40,"A estação das docas é um atrativo turístico para toda a família, as crianças podem se divertir  durante o dia, inclusive da estação sai um passeio de barco pela baía de guajará, muito bom por sinal é os adultos podem se divertir e aproveitar todos os restaurantes e inclusive a degustação do chopp artesanal com sabores regionais, os restaurantes também oferecem comidas regionais e tradicionais, vale a pena visitar.","Campinas, SP",Families,,2,DATE_NULL;
200,200,SuaneOSB,Único!,50,"Esse lugar tem uma vista linda. Além de ser limpo e agradável. Ademais, nele fica localizada a cervejaria Amazon Beer, onde é possível experienciar sabores peculiares como cerveja de açaí, cupulate, erva chama, priprioca, taperebá....","Vancouver, Canadá",Families,,2,DATE_NULL;
217,217,Elisa L,Apaixonante,40,"Pôr-do-sol à beira da Baía do Guajará, com ventinho no rosto, cheiro de maresia. Grande variedade de comidas típicas, o famoso sorvete Cairu (degustação imperdível  para quem vem a Belém), artesanato, segurança. Tem um porto do qual saem passeios para visitar as ilhas do entorno (preços variados e acessíveis), com música ao vivo e nos fins de semana c atrações da cultura regional. Entrada gratuita, estacionamento pago (mas pode deixar o carro nos estacionamentos ao lado e dar uma gorjeta mais em conta para os flanelinhas). E tudo isso a uma distância que dá p ir a pé até o Ver-o-peso.",,Families,,2,DATE_NULL;
232,232,Adriana D,passeio,50,"ótimo lugar para se curtir o pôr-do-sol, seja em família ou happy hour com amigos.lugar tranquilo para curtir.","Portugal, Portalegre, Portugal",Families,,2,DATE_NULL;
239,239,Carley B,Tem tudo que você precisa!,50,"atualmente colocaram um parquinho infantil, exposições, atrações ao vivo, comida! uma vista incrível e opção de passeio a barco!",,Families,,2,DATE_NULL;
244,244,Mario P,excelente,50,"Local com boa estrutura para passear e com bons restaurantes e algumas lojas, contando inclusive com escadas rolantes. O entardercer é lindo.",,Families,,2,DATE_NULL;
247,247,Andreia F,Excelente,50,Lugar super agradável as margens dá baia de Guajará com bons restaurantes e boa música. Pra curtir no almoço ou jantar ou simplesmente apreciar a vista da baia.,,Families,,2,DATE_NULL;
248,248,claudio_byte,"A estação das docas é um oásis em Belém, próxima do mercado Ver o Peso, porém,  com um apelo muito sofisticado.",50,"É um passeio imperdível. Ver o Por do Sol, experimentar o chope Amazon Beer, os restaurantes estilosos, compra de souvenires, musica ao vivo à noite e saída de passeios de barco com direito a show de carimbó.",,Families,,2,DATE_NULL;
249,249,Felipe V,Bonito,40,"O lugar é bem cuidado e tem uma vista e ambiente bem legal devido à proximidade com a baía do Guajará, porém a estação é pequena. Senti falta de um fraldário, tive que trocar a fralda dá minha filha em um banco.",,Families,,2,DATE_NULL;
